semantic_group_id,num_markets,num_dates,num_event_slugs,event_slugs,actors,sample_questions,needs_review
will-kristi-noem-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Kristi Noem be the next to leave the Trump Cabinet before 2027?,True
will-mike-waltz-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Mike Waltz be the next to leave the Trump Cabinet before 2027?,True
will-person-a-be-the-next-to-leave-the-trump-cabinet-before:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Person A be the next to leave the Trump Cabinet before 2027?,True
will-person-b-be-the-next-to-leave-the-trump-cabinet-before:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Person B be the next to leave the Trump Cabinet before 2027?,True
will-person-d-be-the-next-to-leave-the-trump-cabinet-before:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Person D be the next to leave the Trump Cabinet before 2027?,True
will-no-one-leave-the-trump-cabinet-before:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will no one leave the Trump Cabinet before 2027?,True
will-marco-rubio-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Marco Rubio be the next to leave the Trump Cabinet before 2027?,True
will-pam-bondi-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Pam Bondi be the next to leave the Trump Cabinet before 2027?,True
will-brooke-rollins-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Brooke Rollins be the next to leave the Trump Cabinet before 2027?,True
will-howard-lutnick-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Howard Lutnick be the next to leave the Trump Cabinet before 2027?,True
will-robert-f-kennedy-jr-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Robert F. Kennedy Jr. be the next to leave the Trump Cabinet before 2027?,True
will-scott-turner-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Scott Turner be the next to leave the Trump Cabinet before 2027?,True
will-sean-duffy-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Sean Duffy be the next to leave the Trump Cabinet before 2027?,True
will-chris-wright-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Chris Wright be the next to leave the Trump Cabinet before 2027?,True
will-linda-mcmahon-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Linda McMahon be the next to leave the Trump Cabinet before 2027?,True
will-lee-zeldin-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Lee Zeldin be the next to leave the Trump Cabinet before 2027?,True
will-susie-wiles-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Susie Wiles be the next to leave the Trump Cabinet before 2027?,True
will-tulsi-gabbard-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Tulsi Gabbard be the next to leave the Trump Cabinet before 2027?,True
will-russell-t-vought-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Russell T. Vought be the next to leave the Trump Cabinet before 2027?,True
will-john-ratcliffe-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will John Ratcliffe be the next to leave the Trump Cabinet before 2027?,True
will-jamieson-greer-be-the-next-to-leave-the-trump-cabinet:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Jamieson Greer be the next to leave the Trump Cabinet before 2027?,True
will-kelly-loeffler-be-the-next-to-leave-the-trump-cabinet-before:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Kelly Loeffler be the next to leave the Trump Cabinet before 2027?,True
will-person-c-be-the-next-to-leave-the-trump-cabinet-before:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Person C be the next to leave the Trump Cabinet before 2027?,True
will-person-e-be-the-next-to-leave-the-trump-cabinet-before:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Person E be the next to leave the Trump Cabinet before 2027?,True
will-person-f-be-the-next-to-leave-the-trump-cabinet-before:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Person F be the next to leave the Trump Cabinet before 2027?,True
will-person-g-be-the-next-to-leave-the-trump-cabinet-before:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will Person G be the next to leave the Trump Cabinet before 2027?,True
will-another-individual-other-be-the-next-to-leave-the-trump-cabinet-before:trump,1,1,1,who-will-be-the-next-to-leave-the-trump-cabinet,trump,Will another individual (Other) be the next to leave the Trump Cabinet before 2027?,True
martin-nowak-out,1,1,1,martin-nowak-out-by-february-28,,Martin Nowak out as Harvard professor by February 28?,True
will-the-total-number-of-tsa-passengers-for-february-11-not-be-reported,1,1,1,number-of-tsa-passengers-february-11,,Will the total number of TSA passengers for February 11 not be reported by March 31?,True
will-claude-5-not-be-released,1,1,1,claude-5-released-on,,"Will Claude 5 not be released by February 28, 2026?",True
will-russia-capture-all-of-drobysheve:russia,1,1,1,will-russia-capture-all-of-drobysheve-by-march-31,russia,Will Russia capture all of Drobysheve by March 31?,True
will-liftoff-mobile-not-ipo,1,1,1,liftoff-mobile-ipo-closing-market-cap,,Will Liftoff Mobile not IPO before April 2026?,True
will-agomab-therapeutics-nv-not-ipo,1,1,1,agomab-therapeutics-ipo-closing-market-cap,,Will Agomab Therapeutics NV not IPO before April 2026?,True
will-solv-energy-inc-not-ipo,1,1,1,solv-energy-ipo-closing-market-cap,,"Will SOLV Energy, Inc. not IPO before April 2026?",True
will-arko-petroleum-corp-not-ipo,1,1,1,arko-petroleum-ipo-closing-market-cap,,Will ARKO Petroleum Corp. not IPO before April 2026?,True
will-clear-street-group-inc-not-ipo,1,1,1,clear-street-group-ipo-closing-market-cap,,Will Clear Street Group Inc. not IPO before April 2026?,True
will-the-total-number-of-tsa-passengers-for-february-12-not-be-reported,1,1,1,number-of-tsa-passengers-february-12,,Will the total number of TSA passengers for February 12 not be reported by March 31?,True
karoline-leavitt-out,1,1,1,karoline-leavitt-out-by-march-31,,Karoline Leavitt out by March 31?,True
will-once-upon-a-farm-not-ipo,1,1,1,once-upon-a-farm-ipo-closing-market-cap,,Will Once Upon a Farm not IPO before April 2026?,True
will-spyglass-pharma-inc-not-ipo,1,1,1,spyglass-pharma-ipo-closing-market-cap,,"Will SpyGlass Pharma, Inc. not IPO before April 2026?",True
will-spacex-fail-to-complete-an-initial-public-offering-by-december-31-2026-1159-pm-et,1,1,1,in-which-month-will-spacex-ipo,,"Will SpaceX fail to complete an initial public offering by December 31, 2026, 11:59 PM ET?",True
will-the-total-number-of-tsa-passengers-for-february-13-not-be-reported,1,1,1,number-of-tsa-passengers-february-13,,Will the total number of TSA passengers for February 13 not be reported by March 31?,True
will-the-total-number-of-tsa-passengers-for-february-14-not-be-reported,1,1,1,number-of-tsa-passengers-february-14,,Will the total number of TSA passengers for February 14 not be reported by March 31?,True
will-the-total-number-of-tsa-passengers-for-february-15-not-be-reported,1,1,1,number-of-tsa-passengers-february-15,,Will the total number of TSA passengers for February 15 not be reported by March 31?,True
bank-of-england-decreases-interest-rates-by-50-bps-after-april-2026-meeting,1,1,1,bank-of-england-decision-in-april,,Bank of England decreases interest rates by 50+ bps after April 2026 meeting?,True
bank-of-england-decreases-interest-rates-by-25-bps-after-april-2026-meeting,1,1,1,bank-of-england-decision-in-april,,Bank of England decreases interest rates by 25 bps after April 2026 meeting?,True
will-the-total-number-of-tsa-passengers-for-february-9-15-not-be-reported,1,1,1,number-of-tsa-passengers-february-9-february-15,,Will the total number of TSA passengers for February 9 - 15 not be reported by March 31?,True
morgan-mcsweeney-out-as-starmer-chief-of-staff,1,1,1,morgan-mcsweeney-out-as-starmer-chief-of-staff-by-february-28,,Morgan McSweeney out as Starmer Chief of Staff by February 28?,True
us-ambassador-to-poland-out,1,1,1,us-ambassador-to-poland-out-by-march-31,,U.S. Ambassador to Poland out by March 31?,True
will-karrigan-retire,1,1,1,will-karrigan-retire-by-june-30,,Will Karrigan retire by June 30? ,True
odds-of-us-strikes-iran-in-february-over:iran,1,1,1,odds-of-us-strikes-iran-in-february-over-50-by-feb-13,iran,Odds of US strikes Iran in February over 50% by Feb 13?,True
jesus-christ-return-before-2027-odds-5-monday-night-12-1-am,1,1,1,jesus-christ-return-before-2027-odds-5-monday-night-12-1-am,,"Jesus Christ return before 2027 Odds >5% February 17, 12-1 AM?",True
will-russia-enter-serhiivka:russia,1,1,1,will-russia-enter-serhiivka-by-march-31,russia,Will Russia enter Serhiivka by March 31?,True
will-trump-and-netanyahu-not-shake-hands:trump,1,1,1,how-long-will-trump-and-netanyahu-shake-hands-for-when-meeting-this-week,trump,"Will Trump and Netanyahu not shake hands by February 13, 2026?",True
will-trump-and-netanyahu-handshake-last-26-seconds:trump,1,1,1,how-long-will-trump-and-netanyahu-shake-hands-for-when-meeting-this-week,trump,"Will Trump and Netanyahu handshake last 2–6 seconds by February 13, 2026?",True
will-trump-and-netanyahu-handshake-last-610-seconds:trump,1,1,1,how-long-will-trump-and-netanyahu-shake-hands-for-when-meeting-this-week,trump,"Will Trump and Netanyahu handshake last 6–10 seconds by February 13, 2026?",True
will-trump-and-netanyahu-handshake-last-less-than-2-seconds:trump,1,1,1,how-long-will-trump-and-netanyahu-shake-hands-for-when-meeting-this-week,trump,"Will Trump and Netanyahu handshake last less than 2 seconds by February 13, 2026?",True
will-trump-and-netanyahu-handshake-last-1015-seconds:trump,1,1,1,how-long-will-trump-and-netanyahu-shake-hands-for-when-meeting-this-week,trump,"Will Trump and Netanyahu handshake last 10–15 seconds by February 13, 2026?",True
will-trump-and-netanyahu-handshake-last-15-seconds-or-longer:trump,1,1,1,how-long-will-trump-and-netanyahu-shake-hands-for-when-meeting-this-week,trump,"Will Trump and Netanyahu handshake last 15 seconds or longer by February 13, 2026?",True
will-the-us-next-strike-iran-before-march-2026-et:us,1,1,1,us-next-strikes-iran-on-312,us,Will the US next strike Iran before March 2026 (ET)?,True
will-halle-berry-and-van-hunt-get-married,1,1,1,will-halle-berry-and-van-hunt-get-married-by-december-31,,Will Halle Berry and Van Hunt get married by December 31?,True
epstein-confirmed-to-be-satoshi,1,1,1,epstein-confirmed-to-be-satoshi-by-december-31,,Epstein confirmed to be Satoshi by December 31?,True
will-the-total-number-of-tsa-passengers-for-february-16-not-be-reported,1,1,1,number-of-tsa-passengers-february-16,,Will the total number of TSA passengers for February 16 not be reported by March 31?,True
will-there-be-no-nyt-banner-headlines,1,1,1,how-many-nyt-banner-headlines-by-feb-28,,Will there be no NYT banner headlines by February 28?,True
will-there-be-1-nyt-banner-headline,1,1,1,how-many-nyt-banner-headlines-by-feb-28,,Will there be 1 NYT banner headline by February 28?,True
will-there-be-at-least-2-nyt-banner-headlines,1,1,1,how-many-nyt-banner-headlines-by-feb-28,,Will there be at least 2 NYT banner headlines by February 28?,True
will-the-us-seize-an-iranian-oil-tanker:us,1,1,1,will-the-us-seize-an-iranian-oil-tanker-by-feb-28,us,Will the US seize an Iran-linked tanker by Feb 28?,True
will-100-thieves-qualify-to-a-s-tier-tournament,1,1,1,will-100-thieves-qualify-to-a-s-tier-tournament-by-june-1,,Will 100 Thieves qualify to a S-tier tournament by June 1 ? ,True
will-the-great-divide-by-noah-kahan-be-the-billboard-1-song-for-the-week-of-february,1,1,1,billboard-hot-100-1-song-week-of-february-21,,Will The Great Divide by Noah Kahan be the Billboard #1 song for the week of February 21?,True
will-body-by-don-toliver-be-the-billboard-1-song-for-the-week-of-february,1,1,1,billboard-hot-100-1-song-week-of-february-21,,Will Body by Don Toliver be the Billboard #1 song for the week of February 21?,True
nancy-guthrie-kidnapper-arrested,1,1,1,nancy-guthrie-kidnapper-arrested-by-february-28,,Nancy Guthrie kidnapper arrested by February 28?,True
will-the-total-number-of-tsa-passengers-for-february-17-not-be-reported,1,1,1,number-of-tsa-passengers-february-17,,Will the total number of TSA passengers for February 17 not be reported by March 31?,True
clavicular-charged-again,1,1,1,clavicular-charged-again-by-june-30,,Clavicular charged again by June 30?,True
will-no-couples-marry-by-the-end-of-love-is-blind-season,1,0,1,who-will-get-married-on-love-is-blind-season-10,,Will no couples marry by the end of Love is Blind: Season 10?,True
will-ashley-carpenter-and-alex-henderson-marry-by-the-end-of-love-is-blind-season,1,0,1,who-will-get-married-on-love-is-blind-season-10,,Will Ashley Carpenter and Alex Henderson marry by the end of Love is Blind: Season 10?,True
will-jessica-barrett-and-chris-fusco-marry-by-the-end-of-love-is-blind-season,1,0,1,who-will-get-married-on-love-is-blind-season-10,,Will Jessica Barrett and Chris Fusco marry by the end of Love is Blind: Season 10?,True
will-bri-mcnees-and-connor-spies-marry-by-the-end-of-love-is-blind-season,1,0,1,who-will-get-married-on-love-is-blind-season-10,,Will Bri McNees and Connor Spies marry by the end of Love is Blind: Season 10?,True
will-emma-betsinger-and-mike-gibney-marry-by-the-end-of-love-is-blind-season,1,0,1,who-will-get-married-on-love-is-blind-season-10,,Will Emma Betsinger and Mike Gibney marry by the end of Love is Blind: Season 10?,True
will-brittany-wicker-and-devo-anderson-marry-by-the-end-of-love-is-blind-season,1,0,1,who-will-get-married-on-love-is-blind-season-10,,Will Brittany Wicker and Devo Anderson marry by the end of Love is Blind: Season 10?,True
will-christine-hamilton-and-victor-st-john-marry-by-the-end-of-love-is-blind-season,1,0,1,who-will-get-married-on-love-is-blind-season-10,,Will Christine Hamilton and Victor St. John marry by the end of Love is Blind: Season 10?,True
will-russia-capture-zaliznychne:russia,1,1,1,will-russia-capture-zaliznychne-by-february-28,russia,Will Russia capture Zaliznychne by February 28?,True
will-the-total-number-of-tsa-passengers-for-february-18-not-be-reported,1,1,1,number-of-tsa-passengers-february-18,,Will the total number of TSA passengers for February 18 not be reported by March 31?,True
will-bill-or-hillary-publicly-testify,1,1,1,will-bill-or-hillary-publicly-testify-before-congress-by-feb-28,,Will Bill or Hillary publicly testify before congress by Feb 28?,True
us-downs-a-mexican-cartel-drone,1,1,1,us-downs-a-mexican-cartel-drone-by-march-31,,US downs a Mexican cartel drone by March 31?,True
pter-magyar-sextape-released,1,1,1,pter-magyar-sextape-released-by-march-31,,Péter Magyar sextape released by March 31 ,True
i-beat-bush-epstein-email-publicly-unredacted,1,1,1,i-beat-bush-epstein-email-publicly-unredacted-by-march-31,,"Epstein ""I beat Bush"" Email unredacted by March 31?",True
kristi-noem-and-corey-lewandowski-confirm-relationship,1,1,1,kristi-noem-and-corey-lewandowski-confirm-relationship-by-march-31,,Kristi Noem and Corey Lewandowski confirm relationship by March 31?,True
will-the-total-number-of-tsa-passengers-for-february-19-not-be-reported,1,1,1,number-of-tsa-passengers-february-19,,Will the total number of TSA passengers for February 19 not be reported by March 31?,True
will-the-total-number-of-tsa-passengers-for-february-20-not-be-reported,1,1,1,number-of-tsa-passengers-february-20,,Will the total number of TSA passengers for February 20 not be reported by March 31?,True
will-the-total-number-of-tsa-passengers-for-february-21-not-be-reported,1,1,1,number-of-tsa-passengers-february-21,,Will the total number of TSA passengers for February 21 not be reported by March 31?,True
will-the-total-number-of-tsa-passengers-for-february-22-not-be-reported,1,1,1,number-of-tsa-passengers-february-22,,Will the total number of TSA passengers for February 22 not be reported by March 31?,True
will-the-total-number-of-tsa-passengers-for-february-16-22-not-be-reported,1,1,1,number-of-tsa-passengers-february-16-february-22,,Will the total number of TSA passengers for February 16 - 22 not be reported by March 31?,True
will-xi-jinping-visit-us,1,1,1,will-xi-jinping-visit-us-before-2027,,Will Xi Jinping visit US before 2027?,True
will-the-dhs-shutdown-end,1,1,1,when-will-the-dhs-shutdown-end,,"Will the DHS shutdown end before February 16, 2026?",True
will-mrbeast-get-married,1,1,1,will-mrbeast-get-married-by-december-31,,Will MrBeast get married by December 31?,True
will-the-total-number-of-tsa-passengers-for-february-23-not-be-reported,1,1,1,number-of-tsa-passengers-february-23,,Will the total number of TSA passengers for February 23 not be reported by March 31?,True
will-trump-visit-north-korea:north-korea,1,1,1,will-trump-visit-north-korea-by-april-30,north-korea,Will Trump visit North Korea by April 30?,True
will-no-qualifying-diplomatic-us-iran-meeting-occur:iran,1,1,1,where-will-the-next-us-iran-diplomatic-meeting-happen,iran,"Will no qualifying diplomatic US-Iran meeting occur by April 30, 2026?",True
will-opalite-by-taylor-swift-be-the-billboard-1-song-for-the-week-of-february,1,1,1,billboard-hot-100-1-song-week-of-february-28,,Will Opalite by Taylor Swift be the Billboard #1 song for the week of February 28?,True
will-be-by-you-by-luke-combs-be-the-billboard-1-song-for-the-week-of-february,1,1,1,billboard-hot-100-1-song-week-of-february-28,,Will Be By You by Luke Combs be the Billboard #1 song for the week of February 28?,True
will-wuthering-heights-by-charli-xcx-be-the-billboard-200-1-album-for-the-week-of-february,1,1,1,billboard-200-1-album-week-of-february-28,,Will Wuthering Heights by Charli XCX be the Billboard 200 #1 album for the week of February 28?,True
will-un-verano-sin-ti-by-bad-bunny-be-the-billboard-200-1-album-for-the-week-of-february:un,1,1,1,billboard-200-1-album-week-of-february-28,un,Will Un Verano Sin Ti by Bad Bunny be the Billboard 200 #1 album for the week of February 28?,True
will-piss-in-the-wind-by-joji-be-the-billboard-200-1-album-for-the-week-of-february,1,1,1,billboard-200-1-album-week-of-february-28,,Will Piss in the Wind by Joji be the Billboard 200 #1 album for the week of February 28?,True
will-golden-hour-part-4-by-ateez-be-the-billboard-200-1-album-for-the-week-of-february,1,1,1,billboard-200-1-album-week-of-february-28,,Will Golden Hour: Part 4 by ATEEZ be the Billboard 200 #1 album for the week of February 28?,True
will-the-total-number-of-tsa-passengers-for-february-24-not-be-reported,1,1,1,number-of-tsa-passengers-february-24,,Will the total number of TSA passengers for February 24 not be reported by March 31?,True
odds-of-khamenei-out-by-march-31-over-40-in-february,1,1,1,odds-of-khamenei-out-by-march-31-over-40-in-february,,Odds of Khamenei out by March 31 over 40% in February?,True
odds-us-strikes-iran-by-feb-28-over-30-on-friday:iran,1,1,1,odds-us-strikes-iran-in-feb-over-on-friday,iran,Odds US strikes Iran by Feb 28 over 30% on Friday?,True
odds-us-strikes-iran-by-feb-28-over-20-on-friday:iran,1,1,1,odds-us-strikes-iran-in-feb-over-on-friday,iran,Odds US strikes Iran by Feb 2 over 20% on Friday?,True
will-iran-close-its-airspace:iran,1,1,1,will-iran-close-its-airspace-by-february-28,iran,"Will Iran close its airspace by February 28, 2026?",True
will-russia-capture-all-of-hryshyne-by:russia,1,1,1,will-russia-capture-all-of-hryshyne-by,russia,Will Russia capture all of Hryshyne by June 30?,True
will-russia-enter-krasnopillya:russia,1,1,1,will-russia-enter-krasnopillya-by-april-30,russia,Will Russia enter Krasnopillya by April 30?,True
will-russia-enter-mykhailivka:russia,1,1,1,will-russia-enter-mykhailivka-by-april-30,russia,Will Russia enter Mykhailivka by April 30?,True
will-russia-capture-kindrativka:russia,1,1,1,will-russia-capture-kindrativka-by-march-31,russia,Will Russia capture Kindrativka by March 31?,True
prince-andrew-charged,1,1,1,prince-andrew-charged-by-march-31,,Prince Andrew charged by March 31?,True
odds-of-khamenei-being-out-as-supreme-leader-by-march-31-over-50-in-february,1,1,1,odds-of-khamenei-out-by-march-31-over-in-february-864,,Odds of Khamenei being out as Supreme Leader by March 31 over 50% in February?,True
odds-of-khamenei-being-out-as-supreme-leader-by-march-31-over-30-in-february,1,1,1,odds-of-khamenei-out-by-march-31-over-in-february-864,,Odds of Khamenei being out as Supreme Leader by March 31 over 30% in February?,True
prince-andrew-mugshot-released,1,1,1,prince-andrew-mugshot-released-by-february-28,,Prince Andrew mugshot released by February 28?,True
will-prince-andrew-apologize,1,1,1,will-prince-andrew-apologize-by-feb-28,,Will Prince Andrew apologize by Feb 28?,True
will-prince-andrew-record-an-interview,1,1,1,will-prince-andrew-record-an-interview-by-march-31,,Will Prince Andrew record an interview by March 31?,True
us-evacuates-jerusalem-embassy,1,1,1,us-evacuates-jerusalem-embassy-by-march-31,,U.S. evacuates Jerusalem embassy by March 31?,True
will-the-total-number-of-tsa-passengers-for-february-25-not-be-reported,1,1,1,number-of-tsa-passengers-february-25,,Will the total number of TSA passengers for February 25 not be reported by March 31?,True
will-the-total-number-of-tsa-passengers-for-february-26-not-be-reported,1,1,1,number-of-tsa-passengers-february-26,,Will the total number of TSA passengers for February 26 not be reported by March 31?,True
will-the-total-number-of-tsa-passengers-for-february-27-not-be-reported,1,1,1,number-of-tsa-passengers-february-27,,Will the total number of TSA passengers for February 27 not be reported by March 31?,True
will-rank-one-computing-corp-not-ipo,1,1,1,rank-one-computing-ipo-closing-market-cap,,Will Rank One Computing Corp not IPO before April 2026?,True
will-the-total-number-of-tsa-passengers-for-february-28-not-be-reported,1,1,1,number-of-tsa-passengers-february-28,,Will the total number of TSA passengers for February 28 not be reported by March 31?,True
will-the-total-number-of-tsa-passengers-for-march-1-not-be-reported,1,1,1,number-of-tsa-passengers-march-1,,Will the total number of TSA passengers for March 1 not be reported by March 31?,True
peoples-bank-of-china-rate-cut:china,1,1,1,peoples-bank-of-china-rate-cut-by-march-31,china,People's Bank of China rate cut by March 31?,True
les-wexner-charged,1,1,1,les-wexner-charged-by-june-30,,Les Wexner charged by June 30?,True
les-wexner-arrested,1,1,1,les-wexner-arrested-by-march-31,,Les Wexner arrested by March 31?,True
will-the-total-number-of-tsa-passengers-for-february-23-march-1-not-be-reported,1,1,1,number-of-tsa-passengers-february-23-march-1,,Will the total number of TSA passengers for February 23 - March 1 not be reported by March 31?,True
will-congress-pass-any-tariffs,1,1,1,will-congress-pass-any-tariffs-by-march-31,,Will Congress pass any tariffs by March 31?,True
will-aave-v4-go-live-on-mainnet,1,1,1,will-aave-v4-go-live-on-mainnet-by-june-30,,Will AAVE V4 go live on mainnet by June 30?,True
new-10-us-blanket-tariff-goes-into-effect,1,1,1,new-10-us-blanket-tariff-goes-into-effect-by-february-28,,New 10% US blanket tariff goes into effect by February 28?,True
trump-sued-over-tariff-powers-again:trump,1,1,1,trump-sued-over-tariff-powers-again-by-march-31,trump,Trump sued over tariff powers again by March 31?,True
romanian-pm-bolojan-out,1,1,1,romanian-pm-bolojan-out-by-december-31,,Romanian PM Bolojan out by December 31?,True
will-the-chicago-bears-leave-illinois,1,1,1,will-the-chicago-bears-leave-illinois-by-dec-31,,Will the Chicago Bears leave Illinois by Dec. 31?,True
katy-perry-confirmed-pregnant,1,1,1,katy-perry-confirmed-pregnant-by-june-30,,Katy Perry confirmed pregnant by June 30?,True
will-the-epstein-files-be-the-1-apple-podcast,1,1,1,will-the-epstein-files-be-the-1-apple-podcast-by-march-15,,"Will ""The Epstein Files"" reach #1 on Apple Podcast by March 15?",True
us-evacuates-guadalajara-consulate,1,1,1,us-evacuates-guadalajara-consulate-by-feb-28,,US evacuates Guadalajara consulate by Feb 28?,True
us-issues-do-not-travel-warning-for-jalisco-state,1,1,1,us-issues-do-not-travel-advisory-for-jalisco-by-by-february-28,,"US issues Do-Not-Travel warning for Jalisco State by February 28, 2026?",True
will-ukraine-re-enter-novomykolaivka:ukraine,1,1,1,will-ukraine-re-enter-novomykolaivka-by-march-31,ukraine,Will Ukraine re-enter Novomykolaivka by March 31?,True
will-ukraine-re-enter-uspenivka:ukraine,1,1,1,will-ukraine-re-enter-uspenivka-by-march-31,ukraine,Will Ukraine re-enter Uspenivka by March 31?,True
will-ukraine-re-enter-huliaipole:ukraine,1,1,1,will-ukraine-re-enter-huliaipole-by-march-31,ukraine,Will Ukraine re-enter Huliaipole by March 31?,True
will-the-state-of-the-union-begin-before-9pm-et,1,1,1,what-time-will-the-state-of-the-union-begin,,Will the State of the Union begin before 9PM ET?,True
will-marco-rubio-visit-israel:israel,1,1,1,will-marco-rubio-visit-israel-by-march-2,israel,Will Marco Rubio visit Israel by March 2?,True
will-russia-enter-stinky:russia,1,1,1,will-russia-enter-stinky-by-march-31,russia,Will Russia enter Stinky by March 31?,True
will-the-pound-dip-below-the-us-dollar:us,1,1,1,will-the-pound-dip-below-the-us-dollar-before-november,us,Will the Pound dip below the US Dollar before November?,True
will-putin-and-zelensky-meet-in-person:putin,1,1,1,will-putin-and-zelensky-meet-in-person-before-2023,putin,Will Putin and Zelensky meet in person before 2023?,True
will-credit-suisse-announce-they-are-filing-for-bankruptcy,1,1,1,will-credit-suisse-announce-they-are-filing-for-bankruptcy-before-2023,,Will Credit Suisse announce they are filing for bankruptcy before 2023?,True
538-will-voters-prefer-republicans-over-democrats:republicans,1,1,1,538-will-voters-prefer-republicans-over-democrats-by-election-day,republicans,538: Will voters prefer Republicans over Democrats by Election Day?,True
will-arbitrum-airdrop-a-native-token,1,1,1,will-arbitrum-airdrop-a-native-token-before-2023,,Will Arbitrum airdrop a native token before 2023?,True
will-there-be-a-negotiated-settlement-between-russia-and-ukraine:russia,1,1,1,will-there-be-a-negotiated-settlement-between-russia-and-ukraine-by-dec-31,russia,Will there be a negotiated settlement between Russia and Ukraine by Dec 31?,True
will-us-10-yr-treasury-bond-yield-reach,1,1,1,will-us-10-yr-treasury-bond-yield-reach-5-by-november-8-2022,,"Will US 10-yr treasury bond yield reach 5% by November 8, 2022?",True
will-the-digital-commodities-consumer-protection-act-dccpa-become-law,1,1,1,will-the-digital-commodities-consumer-protection-act-dccpa-become-law-by-dec-31,,Will the Digital Commodities Consumer Protection Act (DCCPA) become law by Dec 31?,True
will-a-nuclear-weapon-be-detonated,1,1,1,will-a-nuclear-weapon-be-detonated-before-2023,,Will a nuclear weapon be detonated before 2023?,True
will-ftx-become-insolvent,1,1,1,will-ftx-become-insolvent-by-eoy,,Will FTX become insolvent by EOY?,True
will-kyrie-irving-play-any-games,1,1,1,will-kyrie-irving-play-any-games-by-november-15,,Will Kyrie Irving play any games by November 15?,True
will-donald-trump-announce-he-is-running-for-president:trump,1,1,1,will-donald-trump-announce-he-is-running-for-president-by-november-15,trump,Will Donald Trump announce he is running for president by November 15?,True
will-sbf-be-federally-indicted,1,1,1,will-sbf-be-federally-indicted-by-eoy,,Will SBF be federally indicted by EOY?,True
will-cryptocom-become-insolvent,1,1,1,will-cryptocom-become-insolvent-by-eoy,,Will Crypto.com become insolvent by EOY?,True
will-nexo-become-insolvent,1,1,1,will-nexo-become-insolvent-by-eoy,,Will Nexo become insolvent by EOY?,True
will-twitter-be-removed-from-the-apple-app-store,1,1,1,will-twitter-be-removed-from-the-apple-app-store-by-eoy,,Will Twitter be removed from the Apple app store by EOY?,True
will-caroline-ellison-be-federally-charged,1,1,1,will-caroline-ellison-be-federally-charged-by-march-31,,Will Caroline Ellison be federally charged by March 31?,True
will-sam-trabucco-be-federally-charged,1,1,1,will-sam-trabucco-be-federally-charged-by-march-31,,Will Sam Trabucco be federally charged by March 31?,True
will-sbf-be-extradited-to-the-us:us,1,1,1,will-sbf-be-extradited-to-the-us-by-february-15-2023,us,"Will SBF be extradited to the US by February 15, 2023?",True
will-hunter-biden-be-indicted:biden,1,1,1,will-hunter-biden-be-indicted-by,biden,"Will Hunter Biden be indicted by July 1, 2023?",True
